experiment,fold,train_users,tuning_users,evaluation_users,evaluation_start,evaluation_end,feature_count,best_iteration,decision_adjusted,weighted_f1,macro_f1,accuracy,not_churned_precision,not_churned_recall,not_churned_f1,not_churned_support,vol_churn_precision,vol_churn_recall,vol_churn_f1,vol_churn_support,invol_churn_precision,invol_churn_recall,invol_churn_f1,invol_churn_support
base,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,2,2,False,0.46641943023795646,0.4016858841106223,0.5186,0.5479034085955888,0.837330135891287,0.6623807767297255,7506.0,0.4116727462219906,0.22468714448236632,0.2907083716651334,3516.0,0.4372670807453416,0.1769733534439417,0.25196850393700787,3978.0
base,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,2,2,False,0.445059178073128,0.3780028310742107,0.5126,0.5283602038259126,0.8578597585785975,0.6539495450785774,7373.0,0.41842105263157897,0.08613217768147345,0.14285714285714285,3692.0,0.4609960334949317,0.26581956797966966,0.3372018052869117,3935.0
base_plus_transactions,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,46,300,False,0.5243712086175472,0.4650324547601481,0.5722666666666667,0.5742184079166301,0.8735678124167333,0.6929458388375165,7506.0,0.7010309278350515,0.17406143344709898,0.278879015721121,3516.0,0.5225258493353028,0.35570638511814984,0.42327250972180674,3978.0
base_plus_transactions,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,46,118,False,0.4732817498066624,0.41039443719139995,0.5393333333333333,0.5394382778338379,0.8700664587006646,0.6659745652738126,7373.0,0.5743879472693032,0.08261105092091008,0.14444707553871655,3692.0,0.5316259216142801,0.34815756035578144,0.42076167076167076,3935.0
base_plus_quiz,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,14,7,False,0.4480083487440946,0.3752753863866614,0.5143333333333333,0.5335811648079306,0.8605115907274181,0.6587119473764724,7506.0,0.4353591160220994,0.11205915813424346,0.17824021714544222,3516.0,0.43316582914572865,0.21669180492709905,0.28887399463806973,3978.0
base_plus_quiz,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,14,1,False,0.44919947253236797,0.3853323304120071,0.5083333333333333,0.5296693860025762,0.8365658483656585,0.6486486486486487,7373.0,0.38072519083969464,0.1080715059588299,0.16835443037974684,3692.0,0.458604247941049,0.26886912325285894,0.33899391220762576,3935.0
base_plus_purchases,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,23,129,False,0.46449680548275046,0.39785823424394723,0.5232,0.5434471133586177,0.8590460964561684,0.6657374425687884,7506.0,0.4407090464547677,0.20506257110352674,0.2798913043478261,3516.0,0.45296864576384255,0.17068878833584716,0.24794595581522733,3978.0
base_plus_purchases,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,23,105,False,0.43090041126371836,0.3604907050486141,0.5062666666666666,0.5208550156112401,0.8824087888240879,0.6550543697140556,7373.0,0.3854258121158911,0.11890574214517877,0.1817429103705237,3692.0,0.4737226277372263,0.16493011435832275,0.24467483506126295,3935.0
base_plus_temporal,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,26,79,False,0.46686285308180964,0.3998268623652563,0.5234,0.5469029564624691,0.8551825206501465,0.6671516915241906,7506.0,0.4304932735426009,0.19112627986348124,0.2647232617687611,3516.0,0.44653349001175086,0.1910507792860734,0.2676056338028169,3978.0
base_plus_temporal,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,26,150,False,0.4413394048384827,0.3741942847541986,0.5093333333333333,0.5248894710987392,0.8695239386952394,0.6546178587838872,7373.0,0.3954248366013072,0.13109425785482123,0.1969080553295362,3692.0,0.47695262483994877,0.18932655654383734,0.27105694014917225,3935.0
