feature,cohort,value,count,proportion
country_code,final_evaluation,US,2751,0.1834
country_code,final_evaluation,DE,868,0.057866666666666663
country_code,final_evaluation,IN,849,0.0566
country_code,final_evaluation,GB,687,0.0458
country_code,final_evaluation,FR,521,0.03473333333333333
country_code,final_evaluation,BR,496,0.03306666666666667
country_code,final_evaluation,KR,465,0.031
country_code,final_evaluation,IT,443,0.029533333333333335
country_code,final_evaluation,ES,427,0.028466666666666668
country_code,final_evaluation,CA,407,0.027133333333333332
country_code,final_evaluation,UA,384,0.0256
country_code,final_evaluation,TR,370,0.024666666666666667
country_code,final_evaluation,KZ,356,0.023733333333333332
country_code,final_evaluation,PL,329,0.021933333333333332
country_code,final_evaluation,AE,272,0.018133333333333335
country_code,final_evaluation,MX,250,0.016666666666666666
country_code,final_evaluation,JP,248,0.016533333333333334
country_code,final_evaluation,AU,238,0.015866666666666668
country_code,final_evaluation,NL,235,0.015666666666666666
country_code,final_evaluation,CO,186,0.0124
country_code,final_evaluation,IL,144,0.0096
country_code,final_evaluation,AR,139,0.009266666666666666
country_code,final_evaluation,CZ,131,0.008733333333333333
country_code,final_evaluation,AT,129,0.0086
country_code,final_evaluation,VN,127,0.008466666666666667
country_code,final_evaluation,RO,124,0.008266666666666667
country_code,final_evaluation,ID,115,0.007666666666666666
country_code,final_evaluation,CH,113,0.007533333333333334
country_code,final_evaluation,KG,100,0.006666666666666667
country_code,final_evaluation,PK,95,0.006333333333333333
country_code,final_evaluation,PH,92,0.0061333333333333335
country_code,final_evaluation,UZ,90,0.006
country_code,final_evaluation,SA,88,0.005866666666666667
country_code,final_evaluation,HK,83,0.005533333333333334
country_code,final_evaluation,TH,77,0.0051333333333333335
country_code,final_evaluation,BG,76,0.005066666666666666
country_code,final_evaluation,PT,75,0.005
country_code,final_evaluation,EG,74,0.004933333333333333
country_code,final_evaluation,NG,74,0.004933333333333333
country_code,final_evaluation,SE,73,0.004866666666666667
country_code,final_evaluation,PE,71,0.004733333333333333
country_code,final_evaluation,BE,71,0.004733333333333333
country_code,final_evaluation,CL,66,0.0044
country_code,final_evaluation,RS,62,0.0041333333333333335
country_code,final_evaluation,MA,62,0.0041333333333333335
country_code,final_evaluation,SK,59,0.003933333333333333
country_code,final_evaluation,GE,58,0.0038666666666666667
country_code,final_evaluation,MY,57,0.0038
country_code,final_evaluation,EC,57,0.0038
country_code,final_evaluation,AM,56,0.0037333333333333333
country_code,final_evaluation,BY,55,0.0036666666666666666
country_code,final_evaluation,ZA,55,0.0036666666666666666
country_code,final_evaluation,SG,55,0.0036666666666666666
country_code,final_evaluation,RU,51,0.0034
country_code,final_evaluation,FI,49,0.003266666666666667
country_code,final_evaluation,DK,48,0.0032
country_code,final_evaluation,HU,46,0.0030666666666666668
country_code,final_evaluation,GR,46,0.0030666666666666668
country_code,final_evaluation,NO,42,0.0028
country_code,final_evaluation,LB,42,0.0028
country_code,final_evaluation,TW,42,0.0028
country_code,final_evaluation,LV,42,0.0028
country_code,final_evaluation,SI,42,0.0028
country_code,final_evaluation,NZ,40,0.0026666666666666666
country_code,final_evaluation,KW,39,0.0026
country_code,final_evaluation,LT,38,0.002533333333333333
country_code,final_evaluation,CN,37,0.0024666666666666665
country_code,final_evaluation,CY,36,0.0024
country_code,final_evaluation,AZ,36,0.0024
country_code,final_evaluation,EE,34,0.002266666666666667
country_code,final_evaluation,TJ,31,0.0020666666666666667
country_code,final_evaluation,IE,31,0.0020666666666666667
country_code,final_evaluation,JO,31,0.0020666666666666667
country_code,final_evaluation,IQ,26,0.0017333333333333333
country_code,final_evaluation,LK,26,0.0017333333333333333
country_code,final_evaluation,DO,25,0.0016666666666666668
country_code,final_evaluation,HR,23,0.0015333333333333334
country_code,final_evaluation,GT,23,0.0015333333333333334
country_code,final_evaluation,PA,23,0.0015333333333333334
country_code,final_evaluation,QA,19,0.0012666666666666666
country_code,final_evaluation,KE,19,0.0012666666666666666
country_code,final_evaluation,VE,18,0.0012
country_code,final_evaluation,AL,16,0.0010666666666666667
country_code,final_evaluation,MD,16,0.0010666666666666667
country_code,final_evaluation,XK,15,0.001
country_code,final_evaluation,BA,14,0.0009333333333333333
country_code,final_evaluation,BO,14,0.0009333333333333333
country_code,final_evaluation,TN,14,0.0009333333333333333
country_code,final_evaluation,DZ,14,0.0009333333333333333
country_code,final_evaluation,MK,13,0.0008666666666666666
country_code,final_evaluation,PY,12,0.0008
country_code,final_evaluation,UY,12,0.0008
country_code,final_evaluation,BD,12,0.0008
country_code,final_evaluation,PR,11,0.0007333333333333333
country_code,final_evaluation,BH,11,0.0007333333333333333
country_code,final_evaluation,CI,10,0.0006666666666666666
country_code,final_evaluation,MN,10,0.0006666666666666666
country_code,final_evaluation,CR,10,0.0006666666666666666
country_code,final_evaluation,HN,9,0.0006
country_code,final_evaluation,PS,9,0.0006
country_code,final_evaluation,GH,9,0.0006
country_code,final_evaluation,JM,8,0.0005333333333333334
country_code,final_evaluation,MT,8,0.0005333333333333334
country_code,final_evaluation,OM,8,0.0005333333333333334
country_code,final_evaluation,NP,8,0.0005333333333333334
country_code,final_evaluation,RE,7,0.00046666666666666666
country_code,final_evaluation,LY,7,0.00046666666666666666
country_code,final_evaluation,ME,6,0.0004
country_code,final_evaluation,KH,6,0.0004
country_code,final_evaluation,SV,6,0.0004
country_code,final_evaluation,TZ,5,0.0003333333333333333
country_code,final_evaluation,UG,5,0.0003333333333333333
country_code,final_evaluation,TT,5,0.0003333333333333333
country_code,final_evaluation,ZM,4,0.0002666666666666667
country_code,final_evaluation,AD,4,0.0002666666666666667
country_code,final_evaluation,MM,4,0.0002666666666666667
country_code,final_evaluation,BJ,4,0.0002666666666666667
country_code,final_evaluation,RW,4,0.0002666666666666667
country_code,final_evaluation,LU,4,0.0002666666666666667
country_code,final_evaluation,MV,4,0.0002666666666666667
country_code,final_evaluation,AO,4,0.0002666666666666667
country_code,final_evaluation,IS,4,0.0002666666666666667
country_code,final_evaluation,ET,3,0.0002
country_code,final_evaluation,ML,3,0.0002
country_code,final_evaluation,SN,3,0.0002
country_code,final_evaluation,ZW,3,0.0002
country_code,final_evaluation,CD,3,0.0002
country_code,final_evaluation,BS,3,0.0002
country_code,final_evaluation,MQ,3,0.0002
country_code,final_evaluation,MZ,2,0.00013333333333333334
country_code,final_evaluation,CM,2,0.00013333333333333334
country_code,final_evaluation,GP,2,0.00013333333333333334
country_code,final_evaluation,MR,2,0.00013333333333333334
country_code,final_evaluation,NI,2,0.00013333333333333334
country_code,final_evaluation,LS,2,0.00013333333333333334
country_code,final_evaluation,GY,2,0.00013333333333333334
country_code,final_evaluation,GM,2,0.00013333333333333334
country_code,final_evaluation,YE,2,0.00013333333333333334
country_code,final_evaluation,IM,2,0.00013333333333333334
country_code,final_evaluation,PF,2,0.00013333333333333334
country_code,final_evaluation,LR,1,6.666666666666667e-05
country_code,final_evaluation,SZ,1,6.666666666666667e-05
country_code,final_evaluation,unknown,1,6.666666666666667e-05
country_code,final_evaluation,NC,1,6.666666666666667e-05
country_code,final_evaluation,AF,1,6.666666666666667e-05
country_code,final_evaluation,FJ,1,6.666666666666667e-05
country_code,final_evaluation,TM,1,6.666666666666667e-05
country_code,final_evaluation,SR,1,6.666666666666667e-05
country_code,final_evaluation,BN,1,6.666666666666667e-05
country_code,final_evaluation,FO,1,6.666666666666667e-05
country_code,final_evaluation,MC,1,6.666666666666667e-05
country_code,final_evaluation,BF,1,6.666666666666667e-05
country_code,final_evaluation,BT,1,6.666666666666667e-05
country_code,final_evaluation,CW,1,6.666666666666667e-05
country_code,final_evaluation,KY,1,6.666666666666667e-05
country_code,final_evaluation,MU,1,6.666666666666667e-05
country_code,final_evaluation,VG,1,6.666666666666667e-05
country_code,final_evaluation,TD,1,6.666666666666667e-05
country_code,final_evaluation,AW,1,6.666666666666667e-05
country_code,final_evaluation,GF,1,6.666666666666667e-05
country_code,final_evaluation,LI,1,6.666666666666667e-05
country_code,historical_train,US,11460,0.191
country_code,historical_train,JP,2955,0.04925
country_code,historical_train,IN,2825,0.04708333333333333
country_code,historical_train,DE,2697,0.04495
country_code,historical_train,GB,2272,0.037866666666666667
country_code,historical_train,FR,2188,0.03646666666666667
country_code,historical_train,KR,2012,0.03353333333333333
country_code,historical_train,BR,1638,0.0273
country_code,historical_train,TR,1560,0.026
country_code,historical_train,IT,1392,0.0232
country_code,historical_train,ES,1365,0.02275
country_code,historical_train,CA,1357,0.022616666666666667
country_code,historical_train,KZ,1302,0.0217
country_code,historical_train,UA,1206,0.0201
country_code,historical_train,TW,1166,0.019433333333333334
country_code,historical_train,PL,1095,0.01825
country_code,historical_train,VN,1044,0.0174
country_code,historical_train,AE,945,0.01575
country_code,historical_train,NL,928,0.015466666666666667
country_code,historical_train,HK,925,0.015416666666666667
country_code,historical_train,AU,908,0.015133333333333334
country_code,historical_train,MX,760,0.012666666666666666
country_code,historical_train,PH,637,0.010616666666666667
country_code,historical_train,KH,575,0.009583333333333333
country_code,historical_train,CO,561,0.00935
country_code,historical_train,IL,546,0.0091
country_code,historical_train,ID,495,0.00825
country_code,historical_train,AR,452,0.007533333333333334
country_code,historical_train,CH,398,0.006633333333333333
country_code,historical_train,RO,370,0.006166666666666667
country_code,historical_train,SI,370,0.006166666666666667
country_code,historical_train,CZ,363,0.00605
country_code,historical_train,KG,343,0.005716666666666667
country_code,historical_train,SG,325,0.005416666666666667
country_code,historical_train,EG,320,0.005333333333333333
country_code,historical_train,CN,308,0.0051333333333333335
country_code,historical_train,SE,298,0.004966666666666667
country_code,historical_train,SA,295,0.004916666666666666
country_code,historical_train,MY,286,0.0047666666666666664
country_code,historical_train,BE,283,0.004716666666666667
country_code,historical_train,UZ,281,0.004683333333333334
country_code,historical_train,GE,277,0.0046166666666666665
country_code,historical_train,TH,275,0.004583333333333333
country_code,historical_train,AT,270,0.0045
country_code,historical_train,PK,269,0.004483333333333333
country_code,historical_train,PT,263,0.004383333333333334
country_code,historical_train,BG,253,0.004216666666666666
country_code,historical_train,RS,237,0.00395
country_code,historical_train,MA,221,0.003683333333333333
country_code,historical_train,CL,216,0.0036
country_code,historical_train,SK,215,0.0035833333333333333
country_code,historical_train,PE,203,0.0033833333333333332
country_code,historical_train,ZA,201,0.00335
country_code,historical_train,RU,185,0.0030833333333333333
country_code,historical_train,BY,178,0.0029666666666666665
country_code,historical_train,HU,178,0.0029666666666666665
country_code,historical_train,IQ,172,0.0028666666666666667
country_code,historical_train,GR,156,0.0026
country_code,historical_train,DK,156,0.0026
country_code,historical_train,NO,152,0.002533333333333333
country_code,historical_train,LT,147,0.00245
country_code,historical_train,AZ,147,0.00245
country_code,historical_train,KW,143,0.0023833333333333332
country_code,historical_train,NG,142,0.0023666666666666667
country_code,historical_train,AM,141,0.00235
country_code,historical_train,FI,140,0.0023333333333333335
country_code,historical_train,CY,140,0.0023333333333333335
country_code,historical_train,LV,137,0.0022833333333333334
country_code,historical_train,MD,133,0.0022166666666666667
country_code,historical_train,TJ,130,0.0021666666666666666
country_code,historical_train,EC,128,0.0021333333333333334
country_code,historical_train,QA,123,0.00205
country_code,historical_train,NZ,123,0.00205
country_code,historical_train,LB,115,0.0019166666666666666
country_code,historical_train,EE,113,0.0018833333333333334
country_code,historical_train,IE,107,0.0017833333333333334
country_code,historical_train,BD,98,0.0016333333333333334
country_code,historical_train,HR,96,0.0016
country_code,historical_train,AQ,86,0.0014333333333333333
country_code,historical_train,JO,81,0.00135
country_code,historical_train,DO,70,0.0011666666666666668
country_code,historical_train,DZ,69,0.00115
country_code,historical_train,PR,69,0.00115
country_code,historical_train,LK,67,0.0011166666666666666
country_code,historical_train,CR,66,0.0011
country_code,historical_train,PA,61,0.0010166666666666666
country_code,historical_train,MN,60,0.001
country_code,historical_train,VE,59,0.0009833333333333332
country_code,historical_train,OM,55,0.0009166666666666666
country_code,historical_train,TN,50,0.0008333333333333334
country_code,historical_train,AL,48,0.0008
country_code,historical_train,KE,46,0.0007666666666666667
country_code,historical_train,UY,44,0.0007333333333333333
country_code,historical_train,BH,42,0.0007
country_code,historical_train,TG,42,0.0007
country_code,historical_train,PY,40,0.0006666666666666666
country_code,historical_train,MT,38,0.0006333333333333333
country_code,historical_train,BA,34,0.0005666666666666667
country_code,historical_train,CI,30,0.0005
country_code,historical_train,XK,29,0.00048333333333333334
country_code,historical_train,MK,28,0.00046666666666666666
country_code,historical_train,GT,28,0.00046666666666666666
country_code,historical_train,ME,27,0.00045
country_code,historical_train,LU,27,0.00045
country_code,historical_train,GH,25,0.0004166666666666667
country_code,historical_train,RE,25,0.0004166666666666667
country_code,historical_train,JM,25,0.0004166666666666667
country_code,historical_train,NP,23,0.00038333333333333334
country_code,historical_train,SV,23,0.00038333333333333334
country_code,historical_train,MO,22,0.00036666666666666667
country_code,historical_train,AD,22,0.00036666666666666667
country_code,historical_train,BO,22,0.00036666666666666667
country_code,historical_train,PS,22,0.00036666666666666667
country_code,historical_train,GM,21,0.00035
country_code,historical_train,IS,21,0.00035
country_code,historical_train,GP,20,0.0003333333333333333
country_code,historical_train,SC,20,0.0003333333333333333
country_code,historical_train,SN,19,0.00031666666666666665
country_code,historical_train,HN,18,0.0003
country_code,historical_train,CM,17,0.00028333333333333335
country_code,historical_train,unknown,17,0.00028333333333333335
country_code,historical_train,TT,16,0.0002666666666666667
country_code,historical_train,TZ,14,0.00023333333333333333
country_code,historical_train,MM,13,0.00021666666666666666
country_code,historical_train,CD,12,0.0002
country_code,historical_train,ZM,12,0.0002
country_code,historical_train,MQ,11,0.00018333333333333334
country_code,historical_train,ET,11,0.00018333333333333334
country_code,historical_train,MV,11,0.00018333333333333334
country_code,historical_train,YE,11,0.00018333333333333334
country_code,historical_train,LY,11,0.00018333333333333334
country_code,historical_train,ML,11,0.00018333333333333334
country_code,historical_train,UG,10,0.00016666666666666666
country_code,historical_train,MU,10,0.00016666666666666666
country_code,historical_train,GI,10,0.00016666666666666666
country_code,historical_train,BJ,9,0.00015
country_code,historical_train,LI,9,0.00015
country_code,historical_train,ZW,9,0.00015
country_code,historical_train,AO,9,0.00015
country_code,historical_train,CW,8,0.00013333333333333334
country_code,historical_train,AW,7,0.00011666666666666667
country_code,historical_train,MC,7,0.00011666666666666667
country_code,historical_train,GA,7,0.00011666666666666667
country_code,historical_train,KY,7,0.00011666666666666667
country_code,historical_train,BS,7,0.00011666666666666667
country_code,historical_train,TM,7,0.00011666666666666667
country_code,historical_train,BZ,7,0.00011666666666666667
country_code,historical_train,MG,6,0.0001
country_code,historical_train,BI,6,0.0001
country_code,historical_train,BN,6,0.0001
country_code,historical_train,MZ,6,0.0001
country_code,historical_train,SO,6,0.0001
country_code,historical_train,CG,5,8.333333333333333e-05
country_code,historical_train,GY,5,8.333333333333333e-05
country_code,historical_train,NI,5,8.333333333333333e-05
country_code,historical_train,LA,5,8.333333333333333e-05
country_code,historical_train,TO,5,8.333333333333333e-05
country_code,historical_train,AI,5,8.333333333333333e-05
country_code,historical_train,FJ,5,8.333333333333333e-05
country_code,historical_train,SL,5,8.333333333333333e-05
country_code,historical_train,GF,5,8.333333333333333e-05
country_code,historical_train,BW,5,8.333333333333333e-05
country_code,historical_train,WS,4,6.666666666666667e-05
country_code,historical_train,GD,4,6.666666666666667e-05
country_code,historical_train,IM,4,6.666666666666667e-05
country_code,historical_train,CV,4,6.666666666666667e-05
country_code,historical_train,DM,4,6.666666666666667e-05
country_code,historical_train,AG,4,6.666666666666667e-05
country_code,historical_train,PF,4,6.666666666666667e-05
country_code,historical_train,BM,4,6.666666666666667e-05
country_code,historical_train,HT,4,6.666666666666667e-05
country_code,historical_train,BF,4,6.666666666666667e-05
country_code,historical_train,KM,3,5e-05
country_code,historical_train,BV,3,5e-05
country_code,historical_train,TF,3,5e-05
country_code,historical_train,MR,3,5e-05
country_code,historical_train,TD,3,5e-05
country_code,historical_train,GG,3,5e-05
country_code,historical_train,GU,3,5e-05
country_code,historical_train,JE,3,5e-05
country_code,historical_train,VU,3,5e-05
country_code,historical_train,VG,3,5e-05
country_code,historical_train,SM,3,5e-05
country_code,historical_train,RW,3,5e-05
country_code,historical_train,CF,3,5e-05
country_code,historical_train,TK,2,3.3333333333333335e-05
country_code,historical_train,SX,2,3.3333333333333335e-05
country_code,historical_train,ST,2,3.3333333333333335e-05
country_code,historical_train,PG,2,3.3333333333333335e-05
country_code,historical_train,LC,2,3.3333333333333335e-05
country_code,historical_train,FO,2,3.3333333333333335e-05
country_code,historical_train,GQ,2,3.3333333333333335e-05
country_code,historical_train,BQ,2,3.3333333333333335e-05
country_code,historical_train,MS,2,3.3333333333333335e-05
country_code,historical_train,BB,2,3.3333333333333335e-05
country_code,historical_train,BT,2,3.3333333333333335e-05
country_code,historical_train,NU,2,3.3333333333333335e-05
country_code,historical_train,CK,1,1.6666666666666667e-05
country_code,historical_train,GW,1,1.6666666666666667e-05
country_code,historical_train,EH,1,1.6666666666666667e-05
country_code,historical_train,VC,1,1.6666666666666667e-05
country_code,historical_train,SR,1,1.6666666666666667e-05
country_code,historical_train,GL,1,1.6666666666666667e-05
country_code,historical_train,AF,1,1.6666666666666667e-05
country_code,historical_train,FK,1,1.6666666666666667e-05
country_code,historical_train,WF,1,1.6666666666666667e-05
country_code,historical_train,NC,1,1.6666666666666667e-05
country_code,historical_train,SB,1,1.6666666666666667e-05
country_code,historical_train,LS,1,1.6666666666666667e-05
country_code,historical_train,GN,1,1.6666666666666667e-05
country_code,historical_train,VA,1,1.6666666666666667e-05
country_code,historical_train,SS,1,1.6666666666666667e-05
country_code,historical_train,de,1,1.6666666666666667e-05
country_code,historical_train,YT,1,1.6666666666666667e-05
country_code,test,US,1299,0.18557142857142858
country_code,test,IN,630,0.09
country_code,test,DE,365,0.052142857142857144
country_code,test,GB,330,0.047142857142857146
country_code,test,KR,268,0.038285714285714284
country_code,test,FR,267,0.038142857142857145
country_code,test,BR,189,0.027
country_code,test,CA,189,0.027
country_code,test,UA,182,0.026
country_code,test,TR,175,0.025
country_code,test,IT,171,0.024428571428571428
country_code,test,ES,157,0.02242857142857143
country_code,test,AU,135,0.019285714285714285
country_code,test,PL,134,0.019142857142857142
country_code,test,KZ,127,0.01814285714285714
country_code,test,MX,124,0.017714285714285714
country_code,test,AE,121,0.017285714285714286
country_code,test,NL,93,0.013285714285714286
country_code,test,CH,82,0.011714285714285714
country_code,test,IL,78,0.011142857142857144
country_code,test,AR,76,0.010857142857142857
country_code,test,CO,72,0.010285714285714285
country_code,test,RO,67,0.009571428571428571
country_code,test,PH,49,0.007
country_code,test,EG,48,0.006857142857142857
country_code,test,CZ,47,0.006714285714285714
country_code,test,SE,46,0.006571428571428572
country_code,test,ID,46,0.006571428571428572
country_code,test,PK,45,0.0064285714285714285
country_code,test,HK,42,0.006
country_code,test,VN,40,0.005714285714285714
country_code,test,SA,39,0.005571428571428572
country_code,test,JP,38,0.0054285714285714284
country_code,test,AM,38,0.0054285714285714284
country_code,test,PE,37,0.005285714285714286
country_code,test,ZA,35,0.005
country_code,test,BE,35,0.005
country_code,test,AT,34,0.004857142857142857
country_code,test,SK,34,0.004857142857142857
country_code,test,GE,33,0.004714285714285714
country_code,test,BG,33,0.004714285714285714
country_code,test,UZ,32,0.004571428571428572
country_code,test,BY,31,0.004428571428571428
country_code,test,PT,31,0.004428571428571428
country_code,test,MA,29,0.004142857142857143
country_code,test,KG,28,0.004
country_code,test,SG,27,0.003857142857142857
country_code,test,TH,26,0.0037142857142857142
country_code,test,TW,26,0.0037142857142857142
country_code,test,NG,25,0.0035714285714285713
country_code,test,CL,25,0.0035714285714285713
country_code,test,MY,24,0.0034285714285714284
country_code,test,NO,23,0.003285714285714286
country_code,test,RS,23,0.003285714285714286
country_code,test,SI,21,0.003
country_code,test,CY,19,0.0027142857142857142
country_code,test,HU,19,0.0027142857142857142
country_code,test,GR,19,0.0027142857142857142
country_code,test,DK,18,0.0025714285714285713
country_code,test,EC,18,0.0025714285714285713
country_code,test,LV,17,0.0024285714285714284
country_code,test,IE,16,0.002285714285714286
country_code,test,BD,15,0.002142857142857143
country_code,test,NZ,15,0.002142857142857143
country_code,test,FI,14,0.002
country_code,test,LB,14,0.002
country_code,test,TJ,14,0.002
country_code,test,IQ,14,0.002
country_code,test,EE,14,0.002
country_code,test,KW,14,0.002
country_code,test,CN,13,0.0018571428571428571
country_code,test,RU,13,0.0018571428571428571
country_code,test,MK,12,0.0017142857142857142
country_code,test,MD,12,0.0017142857142857142
country_code,test,QA,12,0.0017142857142857142
country_code,test,LT,12,0.0017142857142857142
country_code,test,JO,11,0.0015714285714285715
country_code,test,PA,10,0.0014285714285714286
country_code,test,DZ,10,0.0014285714285714286
country_code,test,GT,10,0.0014285714285714286
country_code,test,CR,9,0.0012857142857142856
country_code,test,UY,9,0.0012857142857142856
country_code,test,AL,8,0.001142857142857143
country_code,test,HR,8,0.001142857142857143
country_code,test,HN,8,0.001142857142857143
country_code,test,VE,8,0.001142857142857143
country_code,test,BH,7,0.001
country_code,test,DO,7,0.001
country_code,test,LK,7,0.001
country_code,test,PY,7,0.001
country_code,test,AZ,6,0.0008571428571428571
country_code,test,BA,6,0.0008571428571428571
country_code,test,KE,6,0.0008571428571428571
country_code,test,TN,6,0.0008571428571428571
country_code,test,PR,6,0.0008571428571428571
country_code,test,NP,5,0.0007142857142857143
country_code,test,OM,5,0.0007142857142857143
country_code,test,RE,5,0.0007142857142857143
country_code,test,LY,4,0.0005714285714285715
country_code,test,SV,4,0.0005714285714285715
country_code,test,XK,4,0.0005714285714285715
country_code,test,SN,4,0.0005714285714285715
country_code,test,GH,4,0.0005714285714285715
country_code,test,ME,4,0.0005714285714285715
country_code,test,PS,4,0.0005714285714285715
country_code,test,JM,3,0.00042857142857142855
country_code,test,MT,3,0.00042857142857142855
country_code,test,AD,3,0.00042857142857142855
country_code,test,SO,3,0.00042857142857142855
country_code,test,KH,3,0.00042857142857142855
country_code,test,UG,2,0.00028571428571428574
country_code,test,FJ,2,0.00028571428571428574
country_code,test,ZW,2,0.00028571428571428574
country_code,test,unknown,2,0.00028571428571428574
country_code,test,MN,2,0.00028571428571428574
country_code,test,AW,2,0.00028571428571428574
country_code,test,MC,2,0.00028571428571428574
country_code,test,GF,2,0.00028571428571428574
country_code,test,PF,2,0.00028571428571428574
country_code,test,TT,2,0.00028571428571428574
country_code,test,TZ,2,0.00028571428571428574
country_code,test,MM,2,0.00028571428571428574
country_code,test,MV,2,0.00028571428571428574
country_code,test,CW,2,0.00028571428571428574
country_code,test,LU,1,0.00014285714285714287
country_code,test,CM,1,0.00014285714285714287
country_code,test,ET,1,0.00014285714285714287
country_code,test,AI,1,0.00014285714285714287
country_code,test,BI,1,0.00014285714285714287
country_code,test,SM,1,0.00014285714285714287
country_code,test,HT,1,0.00014285714285714287
country_code,test,BF,1,0.00014285714285714287
country_code,test,BB,1,0.00014285714285714287
country_code,test,DM,1,0.00014285714285714287
country_code,test,MQ,1,0.00014285714285714287
country_code,test,ZM,1,0.00014285714285714287
