feature,reference_cohort,comparison_cohort,jensen_shannon_divergence,reference_users,comparison_users
attempt_last_billing_address_country,historical_train,test,0.16114075423507676,60000,7000
attempt_last_card_3d_secure_support,historical_train,test,0.15915630004669445,60000,7000
attempt_last_card_3d_secure_support,historical_train,final_evaluation,0.15123493219111003,60000,15000
attempt_last_card_country,historical_train,test,0.14802897231531692,60000,7000
attempt_last_card_3d_secure_support,historical_train,tuning,0.14264317355632944,60000,15000
attempt_last_billing_address_country,historical_train,final_evaluation,0.13541777429157298,60000,15000
attempt_last_bank_name,historical_train,test,0.13061399714763333,60000,7000
attempt_last_card_country,historical_train,final_evaluation,0.12961076325869922,60000,15000
attempt_last_billing_address_country,historical_train,tuning,0.12339002581833175,60000,15000
attempt_last_card_country,historical_train,tuning,0.1233216578911837,60000,15000
attempt_last_card_funding,historical_train,test,0.10125851568939725,60000,7000
attempt_last_card_funding,historical_train,final_evaluation,0.09663740269591743,60000,15000
attempt_last_card_funding,historical_train,tuning,0.09572546544810272,60000,15000
attempt_last_bank_name,historical_train,final_evaluation,0.09290400749668447,60000,15000
attempt_last_bank_name,historical_train,tuning,0.08640848633249743,60000,15000
country_code,historical_train,test,0.043356260306256396,60000,7000
country_code,historical_train,final_evaluation,0.02912505934921056,60000,15000
country_code,historical_train,tuning,0.018942960202844573,60000,15000
