churn_type,feature,evidence_type,segment,discovery_effect,validation_effect,validation_standardized_effect,validation_churn_value,validation_reference_value,validation_support,p_value,direction_replicated,discovery_rate,discovery_lift,discovery_support,q_value,validated,mean_abs_shap,mean_weighted_f1_permutation_drop
invol_churn,attempt_last_cvc_check,categorical_discovered_then_validated,not_provided,,-0.3234412852224914,0.6765587147775086,0.16079545454545455,0.23766666666666666,5280,9.576705098392358e-60,True,0.18592203595233286,0.7436881438093315,9902.0,5.1714207531318736e-58,True,0.04617790322923513,0.003373799659583033
invol_churn,attempt_last_cvc_check,categorical_discovered_then_validated,pass,,0.1586721175792527,1.1586721175792527,0.2753777399446691,0.23766666666666666,9398,7.266509822669035e-45,True,0.27266376033981665,1.0906550413592666,35784.0,1.9619576521206397e-43,True,0.04617790322923513,0.003373799659583033
invol_churn,is_3d_secure_authenticated_rate,numeric_predefined,all,0.05802423983869219,0.07893825559491588,0.24711900252223007,0.17540100136276193,0.09646274576784605,3565,1.1773593115423465e-35,True,,,,2.1192467607762236e-34,True,0.012695330773615267,0.0008370524477165001
invol_churn,attempt_last_card_funding,categorical_discovered_then_validated,prepaid,,0.6289238550046719,1.6289238550046719,0.387140902872777,0.23766666666666666,731,2.146989525563381e-22,True,0.4383561643835616,1.7534246575342465,2482.0,2.8984358595105648e-21,True,0.06458819994848863,0.0149349541668913
invol_churn,attempt_last_failure_code,categorical_discovered_then_validated,card_declined,,0.5192752359652779,1.519275235965278,0.36108108108108106,0.23766666666666666,925,8.758173076713631e-20,True,0.3189710610932476,1.2758842443729903,3110.0,9.458826922850723e-19,True,0.014777024672786668,5.357394659510006e-05
invol_churn,attempt_last_failure_code,categorical_discovered_then_validated,unknown,,-0.034317548479693705,0.9656824515203063,0.22951052931132612,0.23766666666666666,14056,1.3578750013766886e-19,True,0.24598243359794414,0.9839297343917766,56813.0,1.2220875012390198e-18,True,0.014777024672786668,5.357394659510006e-05
invol_churn,failure_card_declined_count,numeric_predefined,all,0.13483333333333333,0.07077340760504086,0.07518839808976487,0.21486676016830294,0.14409335256326208,3565,9.940940504706632e-15,True,,,,7.597748765280541e-14,True,0.000313746190710068,-3.548055286845433e-05
invol_churn,attempt_failure_rate,numeric_predefined,all,0.01872541841226545,0.021100181707824222,0.15896112761952924,0.04834073625592477,0.027240554548100548,3565,1.1255924096711912e-14,True,,,,7.597748765280541e-14,True,0.0021670908773318335,-0.0001947732464046667
invol_churn,attempt_last_cvc_check,categorical_discovered_then_validated,unavailable,,0.8232819074333801,1.8232819074333801,0.43333333333333335,0.23766666666666666,270,2.4918303484333067e-14,True,0.4549929676511955,1.819971870604782,1422.0,1.495098209059984e-13,True,0.04617790322923513,0.003373799659583033
invol_churn,attempt_failure_count,numeric_predefined,all,0.1387,0.06988900986768973,0.07325377872312233,0.21739130434782608,0.14750229448013635,3565,3.144596717154984e-14,True,,,,1.6980822272636913e-13,True,0.0005637306070717334,-2.2963847139734206e-05
invol_churn,attempt_success_rate,numeric_predefined,all,0.06850791492106789,-0.019956720567058772,-0.14529149076021888,0.9510982539264035,0.9710549744934622,3565,1.2786519323469866e-13,False,,,,6.277018576976116e-13,False,0.0005358559041866333,3.0302682922552413e-06
invol_churn,attempt_last_card_3d_secure_support,categorical_discovered_then_validated,optional,,-0.022884348838825064,0.9771156511611749,0.2322278197593059,0.23766666666666666,14292,2.0485280202858634e-12,False,0.2654997293186564,1.0619989172746256,38791.0,9.218376091286385e-12,False,0.0470841078560377,0.006341360309591399
invol_churn,attempt_last_card_funding,categorical_discovered_then_validated,credit,,-0.11605595955072068,0.8839440404492793,0.21008403361344538,0.23766666666666666,6307,1.3792298995649748e-11,True,0.22813670411985018,0.9125468164794007,21360.0,5.729108813577587e-11,True,0.06458819994848863,0.0149349541668913
vol_churn,activity_days_total,numeric_predefined,all,0.2020333333333333,-0.12464594628988346,-0.10880870736487958,2.2113970588235294,2.336043005113413,3808,1.3488323628819036e-10,False,,,,5.202639113973057e-10,False,0.00033040354146373333,2.026938656226667e-05
vol_churn,attempt_active_days,numeric_predefined,all,0.1016999999999999,-0.06487456658289381,-0.11035277275504576,1.1092436974789917,1.1741182640618855,3808,1.4871627061651326e-10,False,,,,5.353785742194478e-10,False,0.0012883783075234643,6.488101806569792e-05
invol_churn,attempt_last_card_3d_secure_support,categorical_discovered_then_validated,required,,0.6966022711849069,1.696602271184907,0.4032258064516129,0.23766666666666666,248,6.553737740336209e-10,True,0.41029641185647425,1.641185647425897,641.0,2.2118864873634703e-09,True,0.0470841078560377,0.006341360309591399
vol_churn,quiz_usage_plan,categorical_discovered_then_validated,personal,,0.1295799918227687,1.1295799918227687,0.2867627072574069,0.2538666666666667,3679,1.3119755414634152e-07,False,0.23277998017839446,0.9311199207135779,8072.0,4.167451719942613e-07,False,0.013342680030557934,0.00047340016732996663
vol_churn,quiz_frustration,categorical_discovered_then_validated,high-cost,,0.17921372370604272,1.1792137237060427,0.29936305732484075,0.2538666666666667,1884,1.2201298015368793e-06,False,0.2294887039239001,0.9179548156956004,841.0,3.6603894046106377e-06,False,0.031047252927589433,0.0008098117686200333
vol_churn,quiz_cost_concern,numeric_predefined,all,0.01103333333333334,0.030775472310334923,0.08971078194961656,0.1567752100840336,0.1259997377736987,3808,6.155449304119864e-06,True,,,,1.7494434864340666e-05,True,0.004988859548975233,0.0014804357531018
invol_churn,attempt_last_card_funding,categorical_discovered_then_validated,unknown,,-0.7147407706753512,0.28525922932464876,0.06779661016949153,0.23766666666666666,118,1.347327727871121e-05,True,0.21186113044150623,0.8474445217660249,12933.0,3.637784865252027e-05,True,0.06458819994848863,0.0149349541668913
vol_churn,quiz_experience,categorical_discovered_then_validated,unknown,,-0.11680474076423031,0.8831952592357697,0.22421383647798743,0.2538666666666667,3180,1.5034503570315116e-05,False,0.26146837033933806,1.0458734813573523,38192.0,3.8660152037953156e-05,False,0.0180432942208315,0.0017003917999840667
invol_churn,attempt_last_card_funding,categorical_discovered_then_validated,debit,,0.04545652853361459,1.0454565285336146,0.24847016828148905,0.23766666666666666,7844,0.001135833829949955,True,0.27121636167922497,1.0848654467168999,23225.0,0.002669464274279443,True,0.06458819994848863,0.0149349541668913
vol_churn,quiz_usage_plan,categorical_discovered_then_validated,marketing,,-0.12129969538389451,0.8787003046161055,0.22307271733187534,0.2538666666666667,1829,0.00124129001087456,True,0.19343575418994413,0.7737430167597765,2864.0,0.002669464274279443,True,0.013342680030557934,0.00047340016732996663
invol_churn,attempt_last_card_3d_secure_support,categorical_discovered_then_validated,not_supported,,0.3316899712411634,1.3316899712411634,0.3164983164983165,0.23766666666666666,297,0.0012651218357462776,True,0.34375,1.375,2784.0,0.002669464274279443,True,0.0470841078560377,0.006341360309591399
vol_churn,purchase_amount_sum,numeric_predefined,all,8.807089666666666,-3.3993089255828153,-0.07713192133858826,41.627347689075634,45.02665661465845,3808,0.0012740499412367578,False,,,,0.002669464274279443,False,0.0071390592137858,0.0009012609484371001
invol_churn,attempt_last_card_3d_secure_support,categorical_discovered_then_validated,recommended,,0.48154001145724257,1.4815400114572426,0.352112676056338,0.23766666666666666,142,0.0012852976135419541,False,0.15067390867028768,0.6026956346811507,4971.0,0.002669464274279443,False,0.0470841078560377,0.006341360309591399
vol_churn,quiz_experience,categorical_discovered_then_validated,beginner,,0.04512470278679892,1.045124702786799,0.2653223245474754,0.2538666666666667,6298,0.006097373653280433,False,0.2367178782937087,0.9468715131748348,11651.0,0.012194747306560864,False,0.0180432942208315,0.0017003917999840667
vol_churn,subscription_plan,categorical_discovered_then_validated,Higgsfield Creator,,-0.09938508510365107,0.9006149148963489,0.2286361063950198,0.2538666666666667,1767,0.00947337071169007,False,0.25,1.0,8000.0,0.01827007208683085,False,0.027238170693994496,-0.0005111108010241668
vol_churn,quiz_role,categorical_discovered_then_validated,creator,,-0.260348244101134,0.739651755898866,0.18777292576419213,0.2538666666666667,229,0.02056725600990932,True,0.16851338873499538,0.6740535549399815,6498.0,0.03829764912190011,True,0.011968666317682333,0.0006088170902563333
vol_churn,quiz_role,categorical_discovered_then_validated,filmmaker,,-0.36032105149752214,0.6396789485024779,0.1623931623931624,0.2538666666666667,117,0.022470132524005544,True,0.21313766596785463,0.8525506638714185,2862.0,0.04044623854320998,True,0.011968666317682333,0.0006088170902563333
vol_churn,quiz_frustration,categorical_discovered_then_validated,Other,,-0.24323177546880836,0.7567682245311916,0.1921182266009852,0.2538666666666667,203,0.04182384992972515,True,0.19937369519832984,0.7974947807933194,3832.0,0.07285444826468251,False,0.031047252927589433,0.0008098117686200333
vol_churn,quiz_frustration,categorical_discovered_then_validated,Hard to prompt,,-0.3780406899601947,0.6219593100398053,0.15789473684210525,0.2538666666666667,76,0.05394576335117109,True,0.20565704183853858,0.8226281673541543,1697.0,0.09007495316298031,False,0.031047252927589433,0.0008098117686200333
vol_churn,quiz_frustration,categorical_discovered_then_validated,High cost of top models,,-0.24861563122358776,0.7513843687764122,0.1907514450867052,0.2538666666666667,173,0.05504580471071019,False,0.27107364685004437,1.0842945874001775,4508.0,0.09007495316298031,False,0.031047252927589433,0.0008098117686200333
vol_churn,quiz_experience,categorical_discovered_then_validated,intermediate,,0.04326720546230667,1.0432672054623067,0.26485076789336426,0.2538666666666667,3451,0.09109297483482634,False,0.21877511654074908,0.8751004661629963,6221.0,0.14467707767884183,False,0.0180432942208315,0.0017003917999840667
vol_churn,quiz_frustration,categorical_discovered_then_validated,other,,-0.05568886696890951,0.9443111330310905,0.23972911963882618,0.2538666666666667,2215,0.09773355863922115,True,0.18732261116367077,0.7492904446546831,1057.0,0.15078891904336977,False,0.031047252927589433,0.0008098117686200333
vol_churn,quiz_usage_plan,categorical_discovered_then_validated,filmmaking,,-0.05838829555726677,0.9416117044427332,0.23904382470119523,0.2538666666666667,2008,0.10103182769201179,True,0.20747726507241496,0.8299090602896598,2969.0,0.15154774153801767,False,0.013342680030557934,0.00047340016732996663
invol_churn,attempt_last_card_3d_secure_support,categorical_discovered_then_validated,unknown,,-0.5992787016629935,0.4007212983370066,0.09523809523809523,0.23766666666666666,21,0.12491755108821043,True,0.21322094747522047,0.8528837899008819,12813.0,0.17751441470429905,False,0.0470841078560377,0.006341360309591399
