transition,feature,value,count,proportion,base_proportion,lift_vs_final_cohort
invol_churn -> invol_churn,country_code,IN,265,0.14504652435686918,0.0566,2.562659440934085
invol_churn -> invol_churn,country_code,US,253,0.1384783798576902,0.1834,0.7550620493876238
invol_churn -> invol_churn,country_code,KZ,135,0.07389162561576355,0.023733333333333332,3.113411191675431
invol_churn -> invol_churn,country_code,VN,66,0.0361247947454844,0.008466666666666667,4.266708040805243
invol_churn -> invol_churn,country_code,BR,63,0.034482758620689655,0.03306666666666667,1.042825361512792
invol_churn -> invol_churn,country_code,UA,61,0.033388067870826495,0.0256,1.30422140120416
invol_churn -> invol_churn,country_code,TR,57,0.031198686371100164,0.024666666666666667,1.264811609639196
invol_churn -> invol_churn,country_code,JP,45,0.024630541871921183,0.016533333333333334,1.4897505164468456
invol_churn -> invol_churn,country_code,UZ,44,0.0240831964969896,0.006,4.0138660828315995
invol_churn -> invol_churn,country_code,PK,41,0.022441160372194856,0.006333333333333333,3.543341111399188
invol_churn -> not_churned,country_code,US,223,0.15917201998572447,0.1834,0.86789541976949
invol_churn -> not_churned,country_code,IN,98,0.06995003568879372,0.0566,1.2358663549256843
invol_churn -> not_churned,country_code,FR,65,0.046395431834404,0.03473333333333333,1.335760993312975
invol_churn -> not_churned,country_code,BR,64,0.04568165596002855,0.03306666666666667,1.381501692339573
invol_churn -> not_churned,country_code,TR,62,0.04425410421127766,0.024666666666666667,1.7940853058626078
invol_churn -> not_churned,country_code,GB,56,0.03997144896502498,0.0458,0.8727390603717246
invol_churn -> not_churned,country_code,IT,50,0.03568879371877231,0.029533333333333335,1.2084241665498523
invol_churn -> not_churned,country_code,UA,46,0.03283369022127052,0.0256,1.2825660242683796
invol_churn -> not_churned,country_code,ES,45,0.032119914346895075,0.028466666666666668,1.128334227642684
invol_churn -> not_churned,country_code,PL,45,0.032119914346895075,0.021933333333333332,1.4644337848128455
invol_churn -> vol_churn,country_code,US,63,0.18694362017804153,0.1834,1.0193218112216005
invol_churn -> vol_churn,country_code,DE,39,0.11572700296735905,0.057866666666666663,1.999890604274638
invol_churn -> vol_churn,country_code,JP,38,0.11275964391691394,0.016533333333333334,6.820139753039149
invol_churn -> vol_churn,country_code,IT,24,0.0712166172106825,0.029533333333333335,2.4113978739508743
invol_churn -> vol_churn,country_code,GB,24,0.0712166172106825,0.0458,1.5549479740323688
invol_churn -> vol_churn,country_code,CA,17,0.050445103857566766,0.027133333333333332,1.8591561618267851
invol_churn -> vol_churn,country_code,KR,14,0.04154302670623145,0.031,1.3400976356848855
invol_churn -> vol_churn,country_code,AU,13,0.03857566765578635,0.015866666666666668,2.431239558137795
invol_churn -> vol_churn,country_code,ES,13,0.03857566765578635,0.028466666666666668,1.3551171307653285
invol_churn -> vol_churn,country_code,TR,12,0.03560830860534125,0.024666666666666667,1.4435800785949156
not_churned -> invol_churn,country_code,IN,185,0.12358049432197729,0.0566,2.183400959752249
not_churned -> invol_churn,country_code,US,156,0.10420841683366733,0.1834,0.5682029271192329
not_churned -> invol_churn,country_code,KZ,110,0.07348029392117568,0.023733333333333332,3.0960798000495373
not_churned -> invol_churn,country_code,BR,81,0.05410821643286573,0.03306666666666667,1.6363371905100523
not_churned -> invol_churn,country_code,UA,74,0.049432197728790914,0.0256,1.930945223780895
not_churned -> invol_churn,country_code,TR,58,0.038744154976619906,0.024666666666666667,1.570708985538645
not_churned -> invol_churn,country_code,VN,45,0.03006012024048096,0.008466666666666667,3.550407902419011
not_churned -> invol_churn,country_code,UZ,36,0.02404809619238477,0.006,4.008016032064128
not_churned -> invol_churn,country_code,MX,33,0.022044088176352707,0.016666666666666666,1.3226452905811623
not_churned -> invol_churn,country_code,KG,32,0.02137608550434202,0.006666666666666667,3.2064128256513027
not_churned -> not_churned,country_code,US,1181,0.2230827351718927,0.1834,1.2163726018096657
not_churned -> not_churned,country_code,GB,302,0.057045712126936154,0.0458,1.245539566090309
not_churned -> not_churned,country_code,DE,278,0.05251227805062335,0.057866666666666663,0.9074702428103114
not_churned -> not_churned,country_code,FR,206,0.03891197582168492,0.03473333333333333,1.1203064056147292
not_churned -> not_churned,country_code,KR,196,0.03702304495655459,0.031,1.1942917727920837
